created_on,privilege,granted_on,name,granted_to,grantee_name,grant_option,granted_by,granted_by_role_type
2024-10-08 13:56:22.944 -0700,OWNERSHIP,SCHEMA,DBT_DB.DBT_SCHEMA,ROLE,ACCOUNTADMIN,true,ACCOUNTADMIN,ROLE
2024-10-10 12:54:44.661 -0700,USAGE,SCHEMA,DBT_DB.DBT_SCHEMA,ROLE,DBT_ROLE,false,ACCOUNTADMIN,ROLE
